西元年,行業代碼,行業名稱,生產總額_當期_百萬元,中間消費_當期_百萬元,GDP_當期_百萬元,GDP_連鎖實質_百萬元,GDP_平減指數
2020,CB,飲料及菸草製造業,166159.0,51747.0,114412.0,103707.0,110.32
2020,CC,紡織業,334587.0,233116.0,101471.0,91363.0,111.06
2020,CD,成衣及服飾品製造業,155136.0,118539.0,36597.0,37329.0,98.04
2020,CE,皮革、毛皮及其製品製造業,47913.0,30687.0,17226.0,17642.0,97.64
2020,CF,木竹製品製造業,47254.0,34785.0,12469.0,12728.0,97.97
2020,CG,紙漿、紙及紙製品製造業,251238.0,180771.0,70467.0,75932.0,92.8
2020,CH,印刷及資料儲存媒體複製業,122062.0,77406.0,44656.0,42269.0,105.65
2020,CI,石油及煤製品製造業,801153.0,666045.0,135108.0,147910.0,91.34
2020,CJ,化學材料及肥料製造業,1694723.0,1280998.0,413725.0,433485.0,95.44
2020,CK,其他化學製品製造業,326387.0,229334.0,97053.0,85209.0,113.9
2020,CL,藥品及醫用化學製品製造業,138736.0,75835.0,62901.0,61432.0,102.39
2020,CM,橡膠製品製造業,118302.0,69863.0,48439.0,45216.0,107.13
2020,CN,塑膠製品製造業,504655.0,346254.0,158401.0,151506.0,104.55
2020,CO,非金屬礦物製品製造業,404642.0,287080.0,117562.0,120746.0,97.36
2020,CP,基本金屬製造業,1601792.0,1314374.0,287418.0,411510.0,69.84
2020,CQ,金屬製品製造業,1087034.0,717926.0,369108.0,349033.0,105.75
2020,CR,電子零組件製造業,5909664.0,3081700.0,2827964.0,2979523.0,94.91
2020,CS,電腦、電子產品及光學製品製造業,2120580.0,1388337.0,732243.0,608727.0,120.29
2020,CT,電力設備及配備製造業,762849.0,562510.0,200339.0,196837.0,101.78
2020,CU,機械設備製造業,986743.0,696914.0,289829.0,248344.0,116.7
2020,CV,汽車及其零件製造業,469113.0,328420.0,140693.0,129621.0,108.54
2020,CW,其他運輸工具及其零件製造業,465310.0,349260.0,116050.0,103703.0,111.91
2020,CX,家具製造業,96218.0,71989.0,24229.0,19977.0,121.28
2020,CY,其他製造業,526294.0,362915.0,163379.0,151920.0,107.54
2020,D,電力及燃氣供應業,717059.0,427858.0,289201.0,204091.0,141.7
2020,E,用水供應及污染整治業,242631.0,132794.0,109837.0,114075.0,96.28
2020,F,營建工程業,1856956.0,1298508.0,558448.0,598524.0,93.3
2020,G,批發及零售業,3872183.0,1073334.0,2798849.0,2963001.0,94.46
2020,GDP,GDP,,,20023752.0,20402197.0,98.15
2020,H,運輸及倉儲業,1248825.0,713145.0,535680.0,862237.0,62.13
2020,I,住宿及餐飲業,999438.0,530130.0,469308.0,460664.0,101.88
2020,ICT,ICT產業,8823747.0,4766415.0,4057332.0,4083029.0,99.37
2020,J,出版影音及資通訊業,1071594.0,458050.0,613544.0,606726.0,101.12
2020,K,金融及保險業,1895009.0,595241.0,1299768.0,1294735.0,100.39
2020,L,不動產及住宅服務業,2145227.0,503463.0,1641764.0,1635879.0,100.36
2020,M,專業、科學及技術服務業,778808.0,319887.0,458921.0,469956.0,97.65
2020,N,支援服務業,462867.0,140964.0,321903.0,323834.0,99.4
2020,O,公共行政及國防；強制性社會安全,1571923.0,432288.0,1139635.0,1173531.0,97.11
2020,P,教育業,909730.0,161822.0,747908.0,757892.0,98.68
2020,Q,醫療保健及社會工作服務業,986520.0,352907.0,633613.0,654787.0,96.77
2020,R,藝術、娛樂及休閒服務業,228326.0,82723.0,145603.0,147322.0,98.83
2020,S,其他服務業,641539.0,220493.0,421046.0,425190.0,99.03
2020,加值型營業稅,加值型營業稅,349956.0,,349956.0,356610.0,98.13
2020,合計,合計,40240718.0,20955054.0,19285664.0,19781147.0,97.5
2020,總計(生產面),總計(生產面),40799837.0,20955054.0,19844783.0,20333226.0,97.6
2020,進口稅,進口稅,209163.0,,209163.0,196767.0,106.3
2021,A,農、林、漁、牧業,631655.0,315913.0,315742.0,315742.0,100.0
2021,B,礦業及土石採取業,23292.0,11373.0,11919.0,11919.0,100.0
2021,C,製造業,23683257.0,15764715.0,7918542.0,7918542.0,100.0
2021,CA,食品及飼品製造業,898676.0,723339.0,175337.0,175337.0,100.0
2021,CB,飲料及菸草製造業,162654.0,50794.0,111860.0,111860.0,100.0
2021,CC,紡織業,379370.0,274171.0,105199.0,105199.0,100.0
2021,CD,成衣及服飾品製造業,169818.0,129587.0,40231.0,40231.0,100.0
2021,CE,皮革、毛皮及其製品製造業,52566.0,34099.0,18467.0,18467.0,100.0
2021,CF,木竹製品製造業,54511.0,40790.0,13721.0,13721.0,100.0
2021,CG,紙漿、紙及紙製品製造業,279622.0,202880.0,76742.0,76742.0,100.0
2021,CH,印刷及資料儲存媒體複製業,125032.0,81460.0,43572.0,43572.0,100.0
2021,CI,石油及煤製品製造業,1101552.0,951398.0,150154.0,150154.0,100.0
2021,CJ,化學材料及肥料製造業,2306610.0,1823899.0,482711.0,482711.0,100.0
2021,CK,其他化學製品製造業,355868.0,257337.0,98531.0,98531.0,100.0
2021,CL,藥品及醫用化學製品製造業,145404.0,76678.0,68726.0,68726.0,100.0
2021,CM,橡膠製品製造業,128026.0,80939.0,47087.0,47087.0,100.0
2021,CN,塑膠製品製造業,546805.0,388819.0,157986.0,157986.0,100.0
2021,CO,非金屬礦物製品製造業,419846.0,294271.0,125575.0,125575.0,100.0
2021,CP,基本金屬製造業,2311062.0,1847409.0,463653.0,463653.0,100.0
2021,CQ,金屬製品製造業,1333923.0,933532.0,400391.0,400391.0,100.0
2021,CR,電子零組件製造業,7147215.0,3534850.0,3612365.0,3612365.0,100.0
2021,CS,電腦、電子產品及光學製品製造業,1998936.0,1288360.0,710576.0,710576.0,100.0
2021,CT,電力設備及配備製造業,878126.0,656030.0,222096.0,222096.0,100.0
2021,CU,機械設備製造業,1143052.0,841055.0,301997.0,301997.0,100.0
