西元年,月,日,峰値負載_MW,備轉容量_MW,備轉容量率_pct
2018,12,11,2868.3,183.4,6.39
2018,12,12,2823.6,193.5,6.85
2018,12,13,2818.0,189.5,6.72
2018,12,14,2818.4,195.4,6.93
2018,12,15,2540.1,255.0,10.04
2018,12,16,2454.4,214.3,8.73
2018,12,17,2783.5,177.3,6.37
2018,12,18,2811.1,178.4,6.35
2018,12,19,2837.1,180.6,6.36
2018,12,20,2852.0,179.6,6.30
2018,12,21,2864.7,199.4,6.96
2018,12,22,2717.8,187.3,6.89
2018,12,23,2450.9,245.6,10.02
2018,12,24,2792.8,234.0,8.38
2018,12,25,2858.5,195.9,6.85
2018,12,26,2846.3,178.0,6.25
2018,12,27,2772.6,193.6,6.98
2018,12,28,2684.4,206.3,7.68
2018,12,29,2430.9,327.7,13.48
2018,12,30,2332.6,176.2,7.55
2018,12,31,2339.9,310.6,13.27
2019,1,1,2387.2,255.7,10.71
2019,1,2,2814.8,190.0,6.75
2019,1,3,2845.2,189.2,6.65
2019,1,4,2849.0,181.1,6.36
2019,1,5,2605.4,190.3,7.30
2019,1,6,2461.8,233.3,9.48
2019,1,7,2853.7,179.9,6.31
2019,1,8,2871.9,184.3,6.42
2019,1,9,2864.1,195.4,6.82
2019,1,10,2900.6,184.7,6.37
2019,1,11,2879.8,188.3,6.54
2019,1,12,2590.5,249.7,9.64
2019,1,13,2462.9,239.8,9.74
2019,1,14,2834.8,174.5,6.16
2019,1,15,2888.7,184.4,6.38
2019,1,16,2864.9,184.9,6.45
2019,1,17,2839.5,193.3,6.81
2019,1,18,2775.6,193.5,6.97
2019,1,19,2647.7,195.4,7.38
2019,1,20,2453.9,259.9,10.59
2019,1,21,2773.9,191.5,6.90
2019,1,22,2814.0,192.1,6.83
2019,1,23,2783.8,193.8,6.96
2019,1,24,2786.3,187.2,6.72
2019,1,25,2729.6,190.5,6.98
2019,1,26,2528.2,253.5,10.03
2019,1,27,2441.4,209.2,8.57
2019,1,28,2755.7,180.6,6.55
2019,1,29,2785.8,183.2,6.58
2019,1,30,2776.0,181.0,6.52
2019,1,31,2718.1,189.0,6.95
2019,2,1,2470.9,214.8,8.69
2019,2,2,2338.2,224.0,9.58
2019,2,3,2291.5,203.8,8.89
2019,2,4,2021.4,256.3,12.68
2019,2,5,1999.2,233.3,11.67
2019,2,6,1993.6,232.2,11.65
2019,2,7,2093.8,210.7,10.06
2019,2,8,2158.1,311.5,14.43
2019,2,9,2243.6,313.6,13.98
2019,2,10,2323.6,302.3,13.01
2019,2,11,2666.7,227.5,8.53
2019,2,12,2776.8,186.0,6.70
2019,2,13,2769.9,191.5,6.91
2019,2,14,2825.0,194.3,6.88
2019,2,15,2826.2,195.9,6.93
2019,2,16,2543.2,242.6,9.54
2019,2,17,2434.3,267.3,10.98
2019,2,18,2864.5,176.2,6.15
2019,2,19,2887.6,189.1,6.55
2019,2,20,2907.8,183.8,6.32
2019,2,21,2891.2,181.3,6.27
2019,2,22,2842.0,187.0,6.58
2019,2,23,2672.3,172.9,6.47
2019,2,24,2469.4,177.0,7.17
2019,2,25,2808.4,175.3,6.24
2019,2,26,2839.0,181.8,6.40
2019,2,27,2801.3,190.3,6.79
2019,2,28,2547.2,243.0,9.54
2019,3,1,2468.9,237.1,9.60
2019,3,2,2473.4,183.3,7.41
2019,3,3,2410.2,222.4,9.23
2019,3,4,2768.8,189.5,6.84
2019,3,5,2824.1,195.4,6.92
2019,3,6,2803.2,192.2,6.86
2019,3,7,2814.7,186.8,6.64
2019,3,8,2795.1,181.6,6.50
2019,3,9,2587.0,219.2,8.47
