西元年,月,年月,原油及石油產品,地熱,天然氣,太陽光電,核能,水力,煤及煤產品,生質能及廢棄物,自產天然氣,進口液化天然氣,電力,風力,再生能源合計,化石燃料合計,再生能源佔比_%
2024,2,202402,4042339.8100654883,2323.861,1452146.0974956385,1052259.97465,1370772.6,261610.12,1797351.8425743,149067.044858992,7544.149,1911700.921848664,0.0,801599.2976,2266860.298108992,9211082.820984092,19.75
2024,3,202403,3826988.029626231,2368.614,1699457.4171957576,1178030.58193,1463854.62,254504.354,2712338.3446544,156396.040883344,8551.035,2237466.9270502944,0.0,818744.97281,2410044.563623344,10484801.753526684,18.69
2024,4,202404,4165143.5785202216,2195.439,1529256.5456100442,1184037.8397,1393122.8,212635.672,3186469.7513696,131385.475735512,7922.049,2013229.645908473,0.0,595111.24728,2125365.673715512,10902021.57040834,16.31
2024,5,202405,4581595.468084409,2257.367,1721939.4797732483,1263711.02925,1454902.94,247130.625,2990970.3511528,152341.351425036,8222.327,2267366.854118713,0.0,878894.10281,2544334.4754850357,11570094.480129171,18.03
2024,6,202406,4583328.314958437,1828.395,1895668.9122407215,1602413.22777,1389791.61,426426.613,3092020.4673064,154409.448827172,8034.01,2496817.808101496,0.0,548893.16688,2733970.851477172,12075869.512607055,18.46
2024,7,202407,3979885.161514594,1938.981,1987578.6632298755,1567666.43757,1198977.0,469631.121,3436828.6481064,163436.767288456,6667.213,2619068.4465971906,0.0,438559.03932,2641232.346178456,12030028.13244806,18.0
2024,8,202408,4274250.849874081,2170.359,1914283.343573151,1644473.61854,728123.89,642453.932,2823640.2861085,158893.8873237,7839.312,2521521.3012777525,0.0,326615.67498,2774607.4718437,11541535.092833485,19.38
2024,9,202409,3995262.5660655894,2221.7,1975320.0860008798,1416035.29185,703566.08,365947.13721,3145216.1636952,155592.93666006,7621.657,2602237.86165836,0.0,887785.5442,2827582.6099200603,11725658.334420027,19.43
2024,10,202410,3741138.968534192,2272.901,1721920.1788169781,1240110.71025,457292.62,469649.07521,2479016.1199336,154171.00245104,8088.54,2267432.38580879,0.0,1226108.6322,3092312.32111104,10217596.193093559,23.23
2024,11,202411,3505549.7194378115,2106.982,1899709.266387163,1062336.0818,0.0,441499.40657,2500194.3428384,141248.41932976,7371.195,2502601.9571907567,0.0,1437441.03124,3084631.9209397603,10415426.480854131,22.85
