西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2017,6,民國106年6月,中部科學園區,其他,17,15
2017,6,民國106年6月,中部科學園區,生物技術,41,29
2017,6,民國106年6月,中部科學園區,積體電路,8,7
2017,6,民國106年6月,中部科學園區,精密機械,67,44
2017,6,民國106年6月,中部科學園區,總計,186,140
2017,6,民國106年6月,中部科學園區,通訊,1,1
2017,6,民國106年6月,中部科學園區,電腦及周邊,15,12
2017,6,民國106年6月,南部科學園區,光電,52,50
2017,6,民國106年6月,南部科學園區,其他,8,6
2017,6,民國106年6月,南部科學園區,生物技術,68,59
2017,6,民國106年6月,南部科學園區,積體電路,17,15
2017,6,民國106年6月,南部科學園區,精密機械,53,49
2017,6,民國106年6月,南部科學園區,總計,212,191
2017,6,民國106年6月,南部科學園區,通訊,11,10
2017,6,民國106年6月,南部科學園區,電腦及周邊,3,2
2017,6,民國106年6月,彙總資料,光電,180,168
2017,6,民國106年6月,彙總資料,其他,34,26
2017,6,民國106年6月,彙總資料,生物技術,202,166
2017,6,民國106年6月,彙總資料,積體電路,212,207
2017,6,民國106年6月,彙總資料,精密機械,165,133
2017,6,民國106年6月,彙總資料,總計,927,821
2017,6,民國106年6月,彙總資料,通訊,59,56
2017,6,民國106年6月,彙總資料,電腦及周邊,75,65
2017,6,民國106年6月,新竹科學園區,光電,91,86
2017,6,民國106年6月,新竹科學園區,其他,9,5
2017,6,民國106年6月,新竹科學園區,生物技術,93,78
2017,6,民國106年6月,新竹科學園區,積體電路,187,185
2017,6,民國106年6月,新竹科學園區,精密機械,45,40
2017,6,民國106年6月,新竹科學園區,總計,529,490
2017,6,民國106年6月,新竹科學園區,通訊,47,45
2017,6,民國106年6月,新竹科學園區,電腦及周邊,57,51
2017,7,民國106年7月,中部科學園區,光電,37,32
2017,7,民國106年7月,中部科學園區,其他,18,16
2017,7,民國106年7月,中部科學園區,生物技術,40,29
2017,7,民國106年7月,中部科學園區,積體電路,8,7
2017,7,民國106年7月,中部科學園區,精密機械,66,44
2017,7,民國106年7月,中部科學園區,總計,185,141
2017,7,民國106年7月,中部科學園區,通訊,1,1
2017,7,民國106年7月,中部科學園區,電腦及周邊,15,12
2017,7,民國106年7月,南部科學園區,光電,51,49
2017,7,民國106年7月,南部科學園區,其他,8,6
2017,7,民國106年7月,南部科學園區,生物技術,69,59
2017,7,民國106年7月,南部科學園區,積體電路,18,15
2017,7,民國106年7月,南部科學園區,精密機械,53,48
2017,7,民國106年7月,南部科學園區,總計,214,189
2017,7,民國106年7月,南部科學園區,通訊,11,10
2017,7,民國106年7月,南部科學園區,電腦及周邊,4,2
2017,7,民國106年7月,彙總資料,光電,180,167
2017,7,民國106年7月,彙總資料,其他,35,27
2017,7,民國106年7月,彙總資料,生物技術,203,166
2017,7,民國106年7月,彙總資料,積體電路,214,206
2017,7,民國106年7月,彙總資料,精密機械,164,132
2017,7,民國106年7月,彙總資料,總計,932,819
