西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2018,CB,飲料及菸草製造業,166197.0,54426.0,111771.0,81993.0,4451.0,18922.0,6405.0
2018,CC,紡織業,397294.0,295077.0,102217.0,1339.0,9217.0,70201.0,21460.0
2018,CD,成衣及服飾品製造業,157783.0,122727.0,35056.0,186.0,1443.0,28149.0,5278.0
2018,CE,皮革、毛皮及其製品製造業,49824.0,33770.0,16054.0,133.0,2415.0,11645.0,1861.0
2018,CF,木竹製品製造業,51466.0,39181.0,12285.0,154.0,1186.0,9675.0,1270.0
2018,CG,紙漿、紙及紙製品製造業,250847.0,189719.0,61128.0,544.0,5658.0,35453.0,19473.0
2018,CH,印刷及資料儲存媒體複製業,123311.0,80199.0,43112.0,256.0,5015.0,33399.0,4442.0
2018,CI,石油及煤製品製造業,1186531.0,998039.0,188492.0,100703.0,28333.0,27760.0,31696.0
2018,CJ,化學材料及肥料製造業,2390753.0,1915296.0,475457.0,3008.0,58198.0,104469.0,309782.0
2018,CK,其他化學製品製造業,335990.0,243574.0,92416.0,918.0,9720.0,47143.0,34635.0
2018,CL,藥品及醫用化學製品製造業,112624.0,67457.0,45167.0,328.0,9027.0,24518.0,11294.0
2018,CM,橡膠製品製造業,118503.0,74146.0,44357.0,1643.0,4798.0,29313.0,8603.0
2018,CN,塑膠製品製造業,495630.0,354029.0,141601.0,1810.0,12225.0,82527.0,45039.0
2018,CO,非金屬礦物製品製造業,387963.0,279722.0,108241.0,7701.0,20613.0,67323.0,12604.0
2018,CP,基本金屬製造業,1908820.0,1582886.0,325934.0,4541.0,34819.0,102442.0,184132.0
2018,CQ,金屬製品製造業,1149548.0,769722.0,379826.0,5193.0,33223.0,232032.0,109378.0
2018,CR,電子零組件製造業,5159906.0,2858598.0,2301308.0,5952.0,853151.0,674284.0,767921.0
2018,CS,電腦、電子產品及光學製品製造業,1899831.0,1340155.0,559676.0,4348.0,145239.0,256377.0,153712.0
2018,CT,電力設備及配備製造業,720390.0,546281.0,174109.0,5521.0,25864.0,98690.0,44034.0
2018,CU,機械設備製造業,1141605.0,833590.0,308015.0,4457.0,25881.0,172215.0,105462.0
