YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs
202403,寶山,1.3117,Hsinchu,19.2,122.3
202403,新市,4.9529,Tainan,22.4,215.5
202403,新竹市,8.1232,Hsinchu,19.2,122.3
202403,西屯區,5.7736,Taichung,21.1,162.3
202404,安定,5.3841,Tainan,27,200.6
202404,寶山,1.3856,Hsinchu,24.7,99.1
202404,新市,4.9812,Tainan,27,200.6
202404,新竹市,7.9703,Hsinchu,24.7,99.1
202404,西屯區,5.7455,Taichung,26.1,139.2
202405,安定,5.9345,Tainan,27.6,147.4
202405,寶山,1.6068,Hsinchu,25.3,123.1
202405,新市,5.2189,Tainan,27.6,147.4
202405,新竹市,8.6649,Hsinchu,25.3,123.1
202405,西屯區,6.0559,Taichung,26.5,125.4
202406,安定,5.9033,Tainan,29.5,207
202406,寶山,1.7422,Hsinchu,28.6,146.2
202406,新市,5.1224,Tainan,29.5,207
202406,新竹市,8.6035,Hsinchu,28.6,146.2
202406,西屯區,6.0127,Taichung,28.8,140.3
202407,安定,6.2253,Tainan,29.9,233.4
202407,寶山,1.9091,Hsinchu,30.3,232.6
202407,新市,5.2804,Tainan,29.9,233.4
202407,新竹市,9.0106,Hsinchu,30.3,232.6
202407,西屯區,6.278,Taichung,29.7,205.1
202408,安定,6.243,Tainan,29.3,216
202408,寶山,2.061,Hsinchu,29.8,249.6
202408,新市,5.2824,Tainan,29.3,216
202408,新竹市,8.9396,Hsinchu,29.8,249.6
202408,西屯區,6.1514,Taichung,29.1,186.6
202409,安定,0.0645,Tainan,29.1,181.3
202409,寶山,2.0223,Hsinchu,29.3,195.4
202409,新市,5.0714,Tainan,29.1,181.3
202409,新竹市,8.6841,Hsinchu,29.3,195.4
202409,西屯區,6.0621,Taichung,28.4,165
202410,安定,12.2222,Tainan,27.1,164.7
202410,寶山,2.0608,Hsinchu,25.9,116.2
202410,新市,5.1763,Tainan,27.1,164.7
202410,新竹市,8.6265,Hsinchu,25.9,116.2
202410,西屯區,6.0906,Taichung,27.1,176.6
202411,安定,5.1476,Tainan,23.7,179.5
202411,寶山,1.8408,Hsinchu,22.1,127.5
202411,新市,4.8378,Tainan,23.7,179.5
202411,新竹市,8.0585,Hsinchu,22.1,127.5
202411,西屯區,5.6889,Taichung,23.4,173.5
202412,安定,5.1443,Tainan,18.8,171.4
202412,寶山,1.8417,Hsinchu,17.3,100.8
202412,新市,4.8677,Tainan,18.8,171.4
202412,新竹市,8.0053,Hsinchu,17.3,100.8
202412,西屯區,5.6189,Taichung,18.3,180.8
202501,安定,4.8429,Tainan,16.8,174.4
202501,寶山,1.8192,Hsinchu,15.7,130.9
202501,新市,4.6587,Tainan,16.8,174.4
