,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"109年","合計","40,240,718","20,955,054","19,285,664","19,781,147","97.50",
"109年","進口稅","209,163","-","209,163","196,767","106.30",
"109年","加值型營業稅","349,956","-","349,956","356,610","98.13",
"109年","總計(生產面)","40,799,837","20,955,054","19,844,783","20,333,226","97.60",
"109年","GDP","-","-","20,023,752","20,402,197","98.15",
"109年","補充項目:ICT產業","8,823,747","4,766,415","4,057,332","4,083,029","99.37",
"110年","A.農、林、漁、牧業","631,655","315,913","315,742","315,742","100.00",
"110年","B.礦業及土石採取業","23,292","11,373","11,919","11,919","100.00",
"110年","C.製造業","23,683,257","15,764,715","7,918,542","7,918,542","100.00",
"110年","CA.食品及飼品製造業","898,676","723,339","175,337","175,337","100.00",
"110年","CB.飲料及菸草製造業","162,654","50,794","111,860","111,860","100.00",
"110年","CC.紡織業","379,370","274,171","105,199","105,199","100.00",
"110年","CD.成衣及服飾品製造業","169,818","129,587","40,231","40,231","100.00",
"110年","CE.皮革、毛皮及其製品製造業","52,566","34,099","18,467","18,467","100.00",
"110年","CF.木竹製品製造業","54,511","40,790","13,721","13,721","100.00",
"110年","CG.紙漿、紙及紙製品製造業","279,622","202,880","76,742","76,742","100.00",
"110年","CH.印刷及資料儲存媒體複製業","125,032","81,460","43,572","43,572","100.00",
"110年","CI.石油及煤製品製造業","1,101,552","951,398","150,154","150,154","100.00",
"110年","CJ.化學材料及肥料製造業","2,306,610","1,823,899","482,711","482,711","100.00",
"110年","CK.其他化學製品製造業","355,868","257,337","98,531","98,531","100.00",
"110年","CL.藥品及醫用化學製品製造業","145,404","76,678","68,726","68,726","100.00",
"110年","CM.橡膠製品製造業","128,026","80,939","47,087","47,087","100.00",
"110年","CN.塑膠製品製造業","546,805","388,819","157,986","157,986","100.00",
"110年","CO.非金屬礦物製品製造業","419,846","294,271","125,575","125,575","100.00",
"110年","CP.基本金屬製造業","2,311,062","1,847,409","463,653","463,653","100.00",
"110年","CQ.金屬製品製造業","1,333,923","933,532","400,391","400,391","100.00",
"110年","CR.電子零組件製造業","7,147,215","3,534,850","3,612,365","3,612,365","100.00",
"110年","CS.電腦、電子產品及光學製品製造業","1,998,936","1,288,360","710,576","710,576","100.00",
"110年","CT.電力設備及配備製造業","878,126","656,030","222,096","222,096","100.00",
"110年","CU.機械設備製造業","1,143,052","841,055","301,997","301,997","100.00",
"110年","CV.汽車及其零件製造業","531,114","379,502","151,612","151,612","100.00",
"110年","CW.其他運輸工具及其零件製造業","529,637","394,292","135,345","135,345","100.00",
"110年","CX.家具製造業","107,800","82,670","25,130","25,130","100.00",
"110年","CY.其他製造業","576,032","396,554","179,478","179,478","100.00",
"110年","D.電力及燃氣供應業","759,947","552,555","207,392","207,392","100.00",
"110年","E.用水供應及污染整治業","259,580","146,782","112,798","112,798","100.00",
"110年","F.營建工程業","2,177,169","1,548,694","628,475","628,475","100.00",
"110年","G.批發及零售業","4,212,102","1,196,881","3,015,221","3,015,221","100.00",
"110年","H.運輸及倉儲業","1,546,569","741,258","805,311","805,311","100.00",
"110年","I.住宿及餐飲業","920,599","497,066","423,533","423,533","100.00",
